# Dowland Corpus — Period-Accurate Chord Voicings

*Source: 113 Poulton-numbered Dowland lute tablatures from lutemusic.org (CC BY-NC-SA 4.0)*
*Only chords with root + 3rd + 5th (+ 7th where applicable) are shown. Partial voicings excluded.*
*Voicings shown use the maximum number of strings found in the corpus.*
*Tab fingering: bass course on left → treble (course 1) on right. '-' = string not played.*
*Frets: same layout as Tab, but showing fret numbers (0 = open string).*
*Crs: total course slots in the fingering (6 = 6-course lute, 8 = 8-course lute).*

## Major

| Root | Str | Crs | Tab Fingering   | Frets           | Pitches                        | Appears In                                                                                                       |
| B    | 7   | 8   | a a a - e a e c | 0 0 0 - 4 0 4 2 | B1, D2, E2, F#3, F#3, D#4, F#4 | King Of Denmarks Galliard                                                                                        |
| B    | 5   | 8   | - - - c b a a c | - - - 2 1 0 0 2 | B2, D#3, F#3, B3, F#4          | P.05 A Fancy; P.08 Dowland Pipers Pavan; P.13a Dowlands Adieu; P.14a Langton Pavane P +8 more                    |
| B    | 5   | 8   | - - - c e f e c | - - - 2 4 5 4 2 | B2, F#3, B3, D#4, F#4          | P.14 John Langtons Pavan; P.31 Walsingham Galliard; P.51 Untitled Almain; P.70 Robin                             |

## Minor

| Root | Str | Crs | Tab Fingering   | Frets           | Pitches                            | Appears In                                                                                                          |
|------|-----|-----|-----------------|-----------------|------------------------------------|---------------------------------------------------------------------------------------------------------------------|
| C    | 3   | 8   | - - - d - b e - | - - - 3 - 1 4 - | C3, G3, D#4                        | P.97 Queens Galliard                                                                                                |
| C#   | 5   | 8   | - - d - a a c d | - - 3 - 0 0 2 3 | G2, D3, F#3, C#4, G4               | King Of Denmarks Galliard                                                                                           |
| C#   | 4   | 8   | - c - - c - c e | - 2 - - 2 - 2 4 | E2, E3, C#4, G#4                   | P.14a Langton Pavane P                                                                                              |
| C#   | 4   | 8   | - c - e e c - - | - 2 - 4 4 2 - - | E2, C#3, F#3, G#3                  | P.02 Forlorne Hope 8C                                                                                               |
| D    | 4   | 8   | - - - - a d d b | - - - - 0 3 3 1 | D3, A3, D4, F4                     | P.25 Melancholy Galliard; P.27 Galliard; P.28 Galliard Upon Bachelor; P.28 Galliard Upon Bachelor P +5 more         |
| D    | 4   | 8   | - - - - d d d f | - - - - 3 3 3 5 | F3, A3, D4, A4                     | P.38 Lord Viscount Lisles Galliard                                                                                  |
| D    | 4   | 8   | - - - f d d d - | - - - 5 3 3 3 - | D3, F3, A3, D4                     | P.25 Melancholy Galliard; P.38 Lord Viscount Lisles Galliard                                                        |
| D    | 4   | 8   | - - - f h - g f | - - - 5 7 - 6 5 | D3, A3, F4, A4                     | P.38 Lord Viscount Lisles Galliard                                                                                  |
| D    | 4   | 8   | - - - f h i g - | - - - 5 7 8 6 - | D3, A3, D4, F4                     | P.29 Giles Hobies Galliard                                                                                          |
| D    | 4   | 8   | - - b - d d d - | - - 1 - 3 3 3 - | F2, F3, A3, D4                     | P.94 Pavane Jehan Douland; P.96 An Almand                                                                           |
| D    | 4   | 8   | - d - - a d d - | - 3 - - 0 3 3 - | F2, D3, A3, D4                     | P.54 Lady Hunsdons Puffe P                                                                                          |
| D#   | 3   | 8   | - - - - e - e g | - - - - 4 - 4 6 | F#3, D#4, A#4                      | P.14 John Langtons Pavan                                                                                            |
